Overflow detected max 2806, last max 100
Current pixel max max 619, last max 100
Current pixel max max 188, last max 1403
Current pixel max max 239, last max 619
Ch: 1, Max read: 237, int time: 6.82
Ch: 2, Max read: 266, int time: 6.72
Current pixel max max 475, last max 94
Current pixel max max 239, last max 239
Ch: 1, Max read: 572, int time: 11.53
Ch: 2, Max read: 361, int time: 12.13
Current pixel max max 872, last max 237
Current pixel max max 239, last max 239
Ch: 1, Max read: 1037, int time: 14.71
Ch: 2, Max read: 265, int time: 17.86
Current pixel max max 1030, last max 436
Current pixel max max 239, last max 239
Ch: 1, Max read: 1213, int time: 17.31
Ch: 2, Max read: 269, int time: 23.57
Current pixel max max 1238, last max 515
Current pixel max max 285, last max 239
Ch: 1, Max read: 1455, int time: 19.10
Ch: 2, Max read: 338, int time: 29.05
Current pixel max max 1418, last max 619
Current pixel max max 327, last max 285
Ch: 1, Max read: 1698, int time: 20.10
Ch: 2, Max read: 341, int time: 34.53
Current pixel max max 1492, last max 709
Current pixel max max 367, last max 327
Ch: 1, Max read: 1787, int time: 20.80
Ch: 2, Max read: 378, int time: 39.88
Current pixel max max 1486, last max 746
Current pixel max max 399, last max 367
Ch: 1, Max read: 1773, int time: 21.55
Ch: 2, Max read: 388, int time: 45.20
Current pixel max max 1620, last max 743
Current pixel max max 475, last max 399
Ch: 1, Max read: 1932, int time: 21.78
Ch: 2, Max read: 537, int time: 50.03
Current pixel max max 1616, last max 810
Current pixel max max 517, last max 475
Ch: 1, Max read: 1915, int time: 22.06
Ch: 2, Max read: 537, int time: 54.86
Current pixel max max 1742, last max 808
Current pixel max max 547, last max 517
Ch: 1, Max read: 2028, int time: 21.96
Ch: 2, Max read: 603, int time: 59.47
Current pixel max max 1618, last max 871
Current pixel max max 578, last max 547
Ch: 1, Max read: 1922, int time: 22.22
Ch: 2, Max read: 712, int time: 63.72
Current pixel max max 1742, last max 809
Current pixel max max 614, last max 578
Ch: 1, Max read: 2031, int time: 22.12
Ch: 2, Max read: 701, int time: 68.00
Current pixel max max 1742, last max 871
Current pixel max max 646, last max 614
Ch: 1, Max read: 2006, int time: 22.10
Ch: 2, Max read: 819, int time: 71.90
Current pixel max max 1742, last max 871
Current pixel max max 664, last max 646
